"Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seats_Available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 35106,VENNELA (A.C. SLEEPER),22:40,05h 25m,04:05,4.6,INR 737,16 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3516,""SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)"",22:45,07h 20m,06:05,2.3,INR 444,23 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3279,VENNELA (A.C. SLEEPER),22:45,06h 15m,05:00,4.1,INR 795,13 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3826,""SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)"",22:50,06h 50m,05:40,2.8,INR 469,29 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3514,""SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)"",22:50,07h 30m,06:20,3.6,INR 444,26 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3508,""SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)"",23:00,06h 15m,05:15,3.4,INR 412,26 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 23703,""SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)"",23:00,05h 00m,04:00,3.9,INR 436,32 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3502,VENNELA (A.C. SLEEPER),23:10,06h 10m,05:20,3.7,INR 795,13 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 4037,""SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)"",23:15,06h 55m,06:10,3.9,INR 444,30 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3658,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),23:30,05h 35m,05:05,3.9,INR 683,41 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 35270,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),23:45,05h 20m,05:05,4.1,INR 720,39 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3887,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),23:55,05h 25m,05:20,3.5,INR 633,47 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,NueGo,Electric A/C Seater (2+2),22:35,07h 25m,06:00,4.4,432,30 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,Scania AC Multi Axle Sleeper (2+1),23:00,07h 30m,06:30,4.4,INR 552,11 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Svkdt travels,A/C Sleeper (2+1),22:20,07h 30m,05:50,4.3,INR 519,12 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,AdSai RK Travels,Non A/C Seater / Sleeper (2+1),22:00,06h 10m,04:10,3.5,INR 399,21 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:45,06h 50m,05:35,4.4,INR 384,16 Seats available"
